游戏,饰品,价格,时间,状态
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126018&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:59,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=1989293262&instanceid=302028390&assetid=29900126033&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:59,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126052&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:59,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126141&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:59,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126067&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:59,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126096&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:59,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126121&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:58,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126080&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:58,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126107&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:58,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126200&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:58,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126214&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:58,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126157&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:58,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126171&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:58,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126183&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:58,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=1989293262&instanceid=302028390&assetid=29900126224&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:58,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126291&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:57,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126259&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:57,交易成功
